String Length (l),Initial Detectors (N),Matching Threshold (r),Repetition,Generation,Mean Pathogen Fitness,Mean Protein Score,Unique Detectors,Detector Shannon,Detector Hamming,Unique Pathogens,Pathogen Shannon,Pathogen Hamming,Active Detectors,Average Detector Coverage
5,500,2,2,68,0.0,0.5028,13,2.5524310513074857,2.064609218436874,32,3.4430045712534065,2.4986706706706707,500,0.594728
5,500,2,2,69,0.0,0.49360000000000004,13,2.5524310513074857,2.064609218436874,32,3.446898085937457,2.498018018018018,500,0.587142
5,500,2,2,70,0.0,0.4988,13,2.5524310513074857,2.064609218436874,32,3.4490924668809098,2.4995955955955957,500,0.601668
5,500,2,2,71,0.0,0.5058,13,2.5524310513074857,2.064609218436874,32,3.444938349076053,2.500998998998999,500,0.601316
5,500,2,2,72,0.0,0.5002000000000001,13,2.5524310513074857,2.064609218436874,32,3.4547230823303012,2.502016016016016,500,0.592626
5,500,2,2,73,0.0,0.4954,13,2.5524310513074857,2.064609218436874,32,3.4494952462906405,2.49974974974975,500,0.5948720000000001
5,500,2,2,74,0.0,0.5018,13,2.5524310513074857,2.064609218436874,32,3.4480306559819365,2.5013833833833834,500,0.597348
5,500,2,2,75,0.0,0.5026,13,2.5524310513074857,2.064609218436874,32,3.4482184582453854,2.49992992992993,500,0.60232
5,500,2,2,76,0.0,0.5026,13,2.5524310513074857,2.064609218436874,32,3.4500669605401972,2.5014794794794795,500,0.600982
5,500,2,2,77,0.0,0.5094000000000001,13,2.5524310513074857,2.064609218436874,32,3.4450432900818453,2.4957537537537537,500,0.6045280000000001
5,500,2,2,78,0.0,0.5032,13,2.5524310513074857,2.064609218436874,32,3.446824675577004,2.5014934934934936,500,0.599354
5,500,2,2,79,0.0,0.4928,13,2.5524310513074857,2.064609218436874,32,3.4465213599899758,2.501237237237237,500,0.5912999999999999
5,500,2,2,80,0.0,0.5055999999999999,13,2.5524310513074857,2.064609218436874,32,3.4515568294754244,2.5006406406406407,500,0.5995039999999999
5,500,2,2,81,0.0,0.5038,13,2.5524310513074857,2.064609218436874,32,3.4481309879552926,2.5018998998999,500,0.59666
5,500,2,2,82,0.0,0.502,13,2.5524310513074857,2.064609218436874,32,3.4494534391572227,2.5001001001001,500,0.598756
5,500,2,2,83,0.0,0.4908,13,2.5524310513074857,2.064609218436874,32,3.4502287032083903,2.5013613613613614,500,0.5910420000000001
5,500,2,2,84,0.0,0.5016,13,2.5524310513074857,2.064609218436874,32,3.4543478851773814,2.5002002002002004,500,0.597994
5,500,2,2,85,0.0,0.5034000000000001,13,2.5524310513074857,2.064609218436874,32,3.4462838017920756,2.4992532532532534,500,0.5958159999999999
5,500,2,2,86,0.0,0.49340000000000006,13,2.5524310513074857,2.064609218436874,32,3.4460114558809947,2.499905905905906,500,0.588934
5,500,2,2,87,0.0,0.506,13,2.5524310513074857,2.064609218436874,32,3.4403246375411127,2.4975935935935936,500,0.5980979999999999
5,500,2,2,88,0.0,0.5016,13,2.5524310513074857,2.064609218436874,32,3.449096161813345,2.4994314314314314,500,0.6027079999999999
5,500,2,2,89,0.0,0.501,13,2.5524310513074857,2.064609218436874,32,3.452487248692913,2.502016016016016,500,0.597286
5,500,2,2,90,0.0,0.5034,13,2.5524310513074857,2.064609218436874,32,3.4467195802000035,2.4974154154154156,500,0.600386
5,500,2,2,91,0.0,0.5036,13,2.5524310513074857,2.064609218436874,32,3.4454323572069123,2.5004564564564564,500,0.596034
5,500,2,2,92,0.0,0.49920000000000003,13,2.5524310513074857,2.064609218436874,32,3.442630650036304,2.4996076076076075,500,0.592494
5,500,2,2,93,0.0,0.5074000000000001,13,2.5524310513074857,2.064609218436874,32,3.451535900497931,2.5007467467467466,500,0.601246
5,500,2,2,94,0.0,0.5062000000000001,13,2.5524310513074857,2.064609218436874,32,3.4468990219446334,2.4986886886886888,500,0.597698
5,500,2,2,95,0.0,0.5048,13,2.5524310513074857,2.064609218436874,32,3.449125089035682,2.498666666666667,500,0.6011920000000001
5,500,2,2,96,0.0,0.5,13,2.5524310513074857,2.064609218436874,32,3.4526129439943607,2.5017137137137135,500,0.5965919999999999
5,500,2,2,97,0.0,0.5078,13,2.5524310513074857,2.064609218436874,32,3.448717674945816,2.5012312312312313,500,0.605578
